make,model,price_value,price_currency,year,engine,mileage_km,city,url
Volkswagen,Touareg,11500.0,AZN,2003,3.2 L,198000,Bakı,https://turbo.az/autos/10636263-volkswagen-touareg
Hyundai,i10,8900.0,AZN,2009,1.2 L,252525,Sumqayıt,https://turbo.az/autos/10636272-hyundai-i10
Mercedes,E 320,16900.0,AZN,2000,3.2 L,347000,Balakən,https://turbo.az/autos/10636262-mercedes-e-320
Mercedes,Vito,22700.0,AZN,2008,2.1 L,192000,Bakı,https://turbo.az/autos/10593956-mercedes-vito
LADA,(VAZ) 2107,5800.0,AZN,2006,1.6 L,75000,Bakı,https://turbo.az/autos/10636257-lada-vaz-2107
Toyota,Passo,9000.0,AZN,2005,1.3 L,305000,Bakı,https://turbo.az/autos/10636264-toyota-passo
Land,Rover Defender,121000.0,AZN,2021,3.0 L,136000,Bakı,https://turbo.az/autos/10320565-land-rover-defender
Toyota,Corolla,31500.0,AZN,2025,1.8 L,0,Bakı,https://turbo.az/autos/10020317-toyota-corolla
Ford,Fusion (North America),21300.0,AZN,2019,2.0 L,173500,Bakı,https://turbo.az/autos/10593869-ford-fusion-north-america
Chevrolet,Orlando,18800.0,AZN,2017,1.6 L,160720,Bakı,https://turbo.az/autos/10624385-chevrolet-orlando
LADA,(VAZ) 2107,10300.0,AZN,2008,1.7 L,18600,Şəki,https://turbo.az/autos/10636254-lada-vaz-2107
Mercedes,E 240,9600.0,AZN,1998,2.4 L,42500,Bakı,https://turbo.az/autos/10631055-mercedes-e-240
Nissan,Tiida,10500.0,AZN,2005,1.6 L,200000,Bakı,https://turbo.az/autos/10636154-nissan-tiida
LADA,(VAZ) 2106,2600.0,AZN,1987,1.6 L,76876,Lənkəran,https://turbo.az/autos/10636253-lada-vaz-2106
Chevrolet,Cruze,12000.0,AZN,2013,1.4 L,300000,Bakı,https://turbo.az/autos/10631116-chevrolet-cruze
Mercedes,GLC 300 e 4MATIC,158816.0,AZN,2025,2.0 L,0,Bakı,https://turbo.az/autos/10110107-mercedes-glc-300-e-4matic
Mercedes,S 450 4MATIC,166600.0,AZN,2020,3.0 L,46000,Bakı,https://turbo.az/autos/10603005-mercedes-s-450-4matic
ZEEKR,9X,212500.0,AZN,2026,2.0 L,0,Sifarişlə,https://turbo.az/autos/10409062-zeekr-9x
Kia,Sorento,61900.0,AZN,2023,1.6 L,28000,Bakı,https://turbo.az/autos/10582750-kia-sorento
Chevrolet,Equinox,24300.0,AZN,2018,1.5 L,115000,Bakı,https://turbo.az/autos/10590972-chevrolet-equinox
Voyah,Dream,80750.0,AZN,2023,1.5 L,79000,Bakı,https://turbo.az/autos/10602135-voyah-dream
Bestune,B70S,22300.0,AZN,2023,1.5 L,34000,Bakı,https://turbo.az/autos/10373570-bestune-b70s
Mercedes,E 220,11600.0,AZN,1998,2.2 L,325690,Biləsuvar,https://turbo.az/autos/10388004-mercedes-e-220
BMW,X5,54000.0,AZN,2014,4.4 L,170000,Zaqatala,https://turbo.az/autos/10558956-bmw-x5
Hyundai,Elantra,30500.0,AZN,2026,1.5 L,0,Bakı,https://turbo.az/autos/10579987-hyundai-elantra
Mazda,CX-9,48000.0,AZN,2020,2.5 L,134900,Bakı,https://turbo.az/autos/10604029-mazda-cx-9
BMW,528,33500.0,AZN,2015,2.0 L,146000,Bakı,https://turbo.az/autos/10619808-bmw-528
BMW,430,62500.0,AZN,2021,2.0 L,54000,Bakı,https://turbo.az/autos/10623001-bmw-430
Chevrolet,Equinox,17900.0,AZN,2018,1.5 L,151000,Bakı,https://turbo.az/autos/10633341-chevrolet-equinox
Mercedes,GLC 200 4MATIC,161678.0,AZN,2026,2.0 L,0,Bakı,https://turbo.az/autos/10506141-mercedes-glc-200-4matic
Mercedes,C 240,13300.0,AZN,1999,2.4 L,405000,Bakı,https://turbo.az/autos/10606527-mercedes-c-240
Mercedes,GLS 450 4MATIC,221209.0,AZN,2025,3.0 L,0,Bakı,https://turbo.az/autos/9540381-mercedes-gls-450-4matic
Ford,Transit,14800.0,AZN,2001,2.0 L,230500,Xaçmaz,https://turbo.az/autos/10607491-ford-transit
Mercedes,GLC 350 e 4MATIC,158743.0,AZN,2024,2.0 L,0,Bakı,https://turbo.az/autos/8885546-mercedes-glc-350-e-4matic
Mercedes,E 300,186200.0,AZN,2026,2.0 L,0,Bakı,https://turbo.az/autos/10355393-mercedes-e-300
Hyundai,Getz,7400.0,AZN,2004,1.4 L,343915,Bakı,https://turbo.az/autos/10605071-hyundai-getz
Lexus,ES 300h,51500.0,AZN,2022,2.5 L,165000,Bakı,https://turbo.az/autos/10603588-lexus-es-300h
LADA,(VAZ) 21011,3200.0,AZN,1984,1.3 L,213421,Qazax,https://turbo.az/autos/10628936-lada-vaz-21011
Audi,Q7,52999.0,AZN,2017,3.0 L,177000,Bakı,https://turbo.az/autos/10601005-audi-q7
Mercedes,E 200,177145.0,AZN,2026,2.0 L,0,Bakı,https://turbo.az/autos/10299311-mercedes-e-200
Chevrolet,Cobalt,23280.0,AZN,2024,1.5 L,185000,Bakı,https://turbo.az/autos/10611208-chevrolet-cobalt
Renault,Megane,8200.0,AZN,2009,1.5 L,359654,Bakı,https://turbo.az/autos/10603642-renault-megane
Land,Rover RR Evoque,59900.0,AZN,2021,2.0 L,101500,Bakı,https://turbo.az/autos/10221975-land-rover-rr-evoque
DAF,85 CF,33000.0,AZN,2013,13 L,1100000,Bakı,https://turbo.az/autos/10636245-daf-85-cf
Mercedes,C 200,13500.0,AZN,2000,2.0 L,320230,Ağcabədi,https://turbo.az/autos/10636233-mercedes-c-200
Audi,A6,49000.0,AZN,2015,3.0 L,42000,Bakı,https://turbo.az/autos/10636250-audi-a6
Mercedes,CLA 250 e,48000.0,AZN,2021,1.3 L,60816,Bakı,https://turbo.az/autos/10531255-mercedes-cla-250-e
Hyundai,Avante,19100.0,AZN,2016,1.6 L,196000,Sifarişlə,https://turbo.az/autos/10636255-hyundai-avante
Hyundai,Sonata,39700.0,AZN,2020,2.0 L,63345,Bakı,https://turbo.az/autos/10564538-hyundai-sonata
Lifan,320,5800.0,AZN,2011,1.3 L,449000,Astara,https://turbo.az/autos/10636224-lifan-320
Kia,Sorento,31900.0,AZN,2017,2.0 L,208000,Bakı,https://turbo.az/autos/10617152-kia-sorento
Toyota,Highlander,79998.0,AZN,2024,2.5 L,23961,Bakı,https://turbo.az/autos/10636247-toyota-highlander
Chevrolet,Cruze,15200.0,AZN,2016,1.4 L,235000,Bakı,https://turbo.az/autos/10630590-chevrolet-cruze
Li,Auto L9,125000.0,AZN,2025,1.5 L,0,Bakı,https://turbo.az/autos/9582599-li-auto-l9
Skoda,Octavia,46900.0,AZN,2024,1.5 L,0,Bakı,https://turbo.az/autos/9794751-skoda-octavia
Changan,Deepal G318,55900.0,AZN,2025,1.5 L,0,Sifarişlə,https://turbo.az/autos/10153892-changan-deepal-g318
Li,Auto L7,86700.0,AZN,2025,1.5 L,0,Bakı,https://turbo.az/autos/10426655-li-auto-l7
Hyundai,i30,15800.0,AZN,2015,1.6 L,308000,Bakı,https://turbo.az/autos/10434175-hyundai-i30
Mini,Cabrio,26000.0,AZN,2017,2.0 L,81000,Bakı,https://turbo.az/autos/10448953-mini-cabrio
Hyundai,Grandeur,31500.0,AZN,2017,2.2 L,158000,Bakı,https://turbo.az/autos/10510785-hyundai-grandeur
Mercedes,E 320,13500.0,AZN,1999,3.2 L,365000,Şəki,https://turbo.az/autos/10524366-mercedes-e-320
Chevrolet,Captiva,26500.0,AZN,2021,1.5 L,53300,Bakı,https://turbo.az/autos/10549287-chevrolet-captiva
Chevrolet,Cruze,16500.0,AZN,2017,1.4 L,117000,Bakı,https://turbo.az/autos/10583420-chevrolet-cruze
Ford,Fusion (North America),19200.0,AZN,2020,1.5 L,191000,Bakı,https://turbo.az/autos/10592828-ford-fusion-north-america
Mitsubishi,Outlander,21800.0,AZN,2013,2.4 L,186361,Sumqayıt,https://turbo.az/autos/10630467-mitsubishi-outlander
JAC,JS2,19500.0,AZN,2026,1.5 L,0,Bakı,https://turbo.az/autos/9278298-jac-js2
BENDA,CVT 350,10700.0,AZN,2026,,980,Bakı,https://turbo.az/autos/10636246-benda-cvt-350
Kia,K3,20900.0,AZN,2017,1.6 L,150250,Bakı,https://turbo.az/autos/10560241-kia-k3
Toyota,Prius,13900.0,AZN,2007,1.5 L,157000,Bakı,https://turbo.az/autos/10553178-toyota-prius
Hyundai,Sonata,33800.0,AZN,2020,1.6 L,62000,Bakı,https://turbo.az/autos/10614562-hyundai-sonata
Lexus,GX 460,53550.0,AZN,2011,4.6 L,98000,Bakı,https://turbo.az/autos/10555181-lexus-gx-460
Hyundai,Sonata,13200.0,AZN,2007,2.0 L,265000,Bakı,https://turbo.az/autos/10636113-hyundai-sonata
Nissan,X-Trail,11200.0,AZN,2003,2.5 L,465000,Bakı,https://turbo.az/autos/10636230-nissan-x-trail
LADA,(VAZ) 2107,1500.0,AZN,1985,1.5 L,15000,Bakı,https://turbo.az/autos/10582814-lada-vaz-2107
Hyundai,Santa Fe,67150.0,AZN,2024,1.6 L,20587,Bakı,https://turbo.az/autos/10598964-hyundai-santa-fe
BMW,X5,111350.0,AZN,2025,3.0 L,37015,Sifarişlə,https://turbo.az/autos/10590585-bmw-x5
Chevrolet,Niva,13500.0,AZN,2013,1.7 L,201000,Sabirabad,https://turbo.az/autos/10636249-chevrolet-niva
Mazda,CX-5,19900.0,AZN,2014,2.0 L,205000,Bakı,https://turbo.az/autos/10595975-mazda-cx-5
Ford,Fusion (North America),18400.0,AZN,2018,1.5 L,120000,Balakən,https://turbo.az/autos/10636244-ford-fusion-north-america
Mazda,3,14700.0,AZN,2014,1.5 L,298000,Bakı,https://turbo.az/autos/10595960-mazda-3
Changan,Deepal S09,76300.0,AZN,2025,1.5 L,0,Bakı,https://turbo.az/autos/10147485-changan-deepal-s09
Hyundai,Veloster,13900.0,AZN,2012,1.6 L,232000,Sumqayıt,https://turbo.az/autos/10636236-hyundai-veloster
Hyundai,Elantra,24000.0,AZN,2014,1.8 L,133000,Bakı,https://turbo.az/autos/10636243-hyundai-elantra
Mercedes,G 450 d,425000.0,AZN,2025,3.0 L,0,Bakı,https://turbo.az/autos/9857813-mercedes-g-450-d
Mercedes,X 250D 4MATIC,59500.0,AZN,2018,2.3 L,179000,Bakı,https://turbo.az/autos/10554954-mercedes-x-250d-4matic
Toyota,Prius,13500.0,AZN,2006,1.5 L,421200,Bakı,https://turbo.az/autos/10636240-toyota-prius
Lexus,LX 570,62900.0,AZN,2014,5.7 L,192000,Bakı,https://turbo.az/autos/10592175-lexus-lx-570
Geely,Galaxy A7,42500.0,AZN,2025,1.5 L,0,Bakı,https://turbo.az/autos/10607252-geely-galaxy-a7
Lexus,GS 300,14900.0,AZN,2008,3.0 L,279000,Bakı,https://turbo.az/autos/10468346-lexus-gs-300
Mercedes,AMG EQE 53 4MATIC,151659.0,AZN,2024,,0,Bakı,https://turbo.az/autos/8773709-mercedes-amg-eqe-53-4matic
Ferrari,458 Italia,338300.0,AZN,2014,4.5 L,3000,Bakı,https://turbo.az/autos/9583222-ferrari-458-italia
GWM,(Great Wall Motor) Poer,50900.0,AZN,2026,2.0 L,0,Bakı,https://turbo.az/autos/9995424-gwm-great-wall-motor-poer
Bestune,T77,26000.0,AZN,2026,1.5 L,0,Bakı,https://turbo.az/autos/10426901-bestune-t77
Chevrolet,Malibu,19000.0,AZN,2018,1.5 L,160000,Bakı,https://turbo.az/autos/8908290-chevrolet-malibu
